negative_tweets,neutral_tweets,positive_tweets,timestamp,price
538,11019,2394,2018-04-18 12:00:00,8055.143962871811
558,10796,2551,2018-04-18 13:00:00,8111.12758905037
640,10734,2438,2018-04-18 14:00:00,8106.162668286471
708,13688,2330,2018-04-18 15:00:00,8107.313917710139
206,4136,546,2018-04-18 16:00:00,8170.854282146086
576,9869,2005,2018-04-18 17:00:00,8184.646770989906
808,9984,2157,2018-04-18 18:00:00,8172.300828120034
697,9153,2263,2018-04-18 19:00:00,8162.081418876818
557,8985,2010,2018-04-18 20:00:00,8141.487686338287
522,7997,1652,2018-04-18 21:00:00,8159.453952348185
529,6984,1478,2018-04-18 22:00:00,8194.224521024213
431,4984,951,2018-04-18 23:00:00,8184.80138092077
